current_action,predicted_action,Llama-3.2_model_reply
start_of_video,pick-up detergent,fetch detergent.
add water,open refrigerator,Open refrigerator.
adjust aubergine,pick-up salt,I'll wash the aubergine.
adjust flame,pick-up salt,"### action: wash

### action list: 
- wash
- dry
- cut
- slice
- mix
- pour
- fetch
- clean
- stabilize
- bring"
blend pea,pick-up mixer,I'll wash the mixer.
check potcoffee,pick-up sugar,fetch sugar
chop onion,put-in rubbish,I will wash the onion.
close box,put-in bagtea,I will put the bagteas in the bag.
close containercake,wash teaspoon,I'll wash the teaspoon.
close dishwasher,plug-in machinesousvide,"### action: wash dishes
### action list: bring, clean, wash, cut, slice, mix, pour, fetch, stabilize, bring"
close refrigerator,get yoghurt,fetch yoghurt
close tupperware,put tupperware,I will put the Tupperware in the dishwasher.
drain rice,pick-up kettle,I'll wash the kettle.
drain sauce,place salt,Place salt
empty bowlwashingup,dry hand,I'll wash the empty bowl.
empty kettle,fill kettle,I'll wash the kettle.
enter kitchen,get pear,fetch pear
enter-into kitchen,cut onionnew,I'll wash the onion.
fill-up bottlewater,take box,fetch bottlewater
flip meat,pick-up oil,I'll wash the meat.
flip tortilla,check tortilla,"### action: wash
### action list: clean, sanitize, dry, cut, slice, mix, pour, fetch, stabilize, bring"
flip-through book,bend book,I will wash the book.
fold tablecloth,pull-down tablecloth,"### action: pull-down tablecloth
### list: wash, dry, cut, slice, mix, pour, fetch, clean, stabilize, bring"
fold toweltea,put boardcutting,I'll cut the towel tea into smaller pieces.
get apron,wear apron,I will wash the apron.
get bowlplastic,get oil,I'll wash the bowlplastic.
get moka,put-down moka,put-down moka
get spoonwood,throw shell,fetch shell
grab banana,pull-off banana,I'll wash the banana.
grab boardcutting,take cheese,fetch cheese
grab bowlsalad,dry bowlsalad,I will wash the bowlsalad.
grab glove,rinse makercoffee,fetch coffee beans
grab jug,open jug,fetch jug.
grab makercoffee,open makercoffee,open makercoffee.
grab meat,put-down machinecoffee,I'll wash the machine.
grab onion,put-on saucepan,I'll put the onion in the saucepan.
grab rucksack,open rucksack,"### action: open rucksack
### list: wash, dry, cut, slice, mix, pour, fetch, clean, stabilize, bring"
grab squash,pour water,I'll wash the squash.
grab tin,put-down tin,I'll wash the tin.
grab tongs,get butter,fetch butter
increase flowtap,take-out tray,I'll wash the tray.
light cooker,fix paella,fetch paella
mix pasta,pick-up salt,I'll wash the salt.
mix sauce,switch-off cooker,Switch off the cooker.
mix-with butter,crack egg,"### action list:
- wash
- dry
- cut
- slice
- mix
- pour
- fetch
- clean
- stabilize
- bring

### response
wash the egg."
move bowlcheese,pick-up saucepan,I will wash the saucepan.
move filter,put-down remote,I'll put down the remote.
move instruction,move-along finger,"### action: wash
### action list: clean, wash, dry, clean, wash, dry, clean, wash, dry"
move oil,put-in egg,I'll wash the egg.
move onion,peel potato,I'll peel the onion.
move pasta,pick-up pasta,fetch pasta
move spatula,wipe surface,I'm washing the surface.
move tablet,wear glove,I will wash the chef's hands.
move tray,pour milk,fetch milk
move-on gloveoven,look-in oven,"### action: look-in oven

### list: wash, dry, cut, slice, mix, pour, fetch, clean, stabilize, bring"
open bag,get bagonion,I'll wash the bag.
open bagcarrot,drop-into carrot,I will wash the bagcarrot.
open bagcoffee,put-into podcoffee,I will put the coffee into the pod.
open bintrash,close bintrash,I will close the bintrash.
open bottleoil,pick-up bottleoil,fetch bottleoil.
open cabinet,put-down boxpasta,I will open cabinet to find pasta.
open containersalt,pour-onto salt,I will wash the salt.
open dishwasher,close dishwasher,I will close the dishwasher.
open doorwashingmachine,take detergent,fetch detergent
open flap,take bread,I'll wash the bread.
open freezer,pick-up pizza,fetch pizza from freezer.
open kettle,pick-up jug,fetch jug from cabinet.
open locker,cut peach,I'll wash the peach.
open machinewashing,take detergent,fetch detergent
open oven,take-out pizza,fetch pizza
open package,place-in tortilla,Place package in tortilla.
open packageegg,take-out sausage,I'll wash the package egg.
open refrigerator,take-out packagefood,open refrigerator
open saucepan,put-into pasta,I will wash the saucepan.
open tray,open cabinet,I will open cabinet.
open wrappingbutter,put-in spoonwooden,I'll put the spoonwooden in the butter.
pick mug,pick cereal,I'll wash the mug.
pick-up backpack,unzip backpack,"### action: Unzip backpack
### action list: wash, dry, cut, slice, mix, pour, fetch, clean, stabilize, bring"
pick-up bacon,put bacon,I'll wash the bacon.
pick-up bag,open bag,"### action: open bag
### action list: wash, dry, cut, slice, mix, pour, fetch, clean, stabilize, bring"
